date,Suspended Matter,Dissolved Organic Matter,Chlorophyll,Turbidity,Salinty,pH,Temperature,Dissolved Oxygen
02-Jan-18,0.598896307,0.559755881,,,,,,
03-Jan-18,0.617666523,0.550452962,,,,,,
06-Jan-18,0.547938494,0.475668411,,,,,,
07-Jan-18,0.595859878,0.522745538,,,,,,
10-Jan-18,0.564150634,0.46882244,,,,,,
11-Jan-18,0.617603573,0.54903075,,,,,,
14-Jan-18,0.560074281,0.467478188,,,,,,
15-Jan-18,0.609497849,0.540162242,,,,,,
18-Jan-18,0.578638471,0.477971125,,,,,,
19-Jan-18,0.62712249,0.564617901,,,,,,
22-Jan-18,0.55345319,0.464126805,,,,,,
23-Jan-18,0.607563968,0.531599221,,,,,,
25-Jan-18,0.569622565,0.456538655,,,,,,
26-Jan-18,0.609641386,0.550831341,,,,,,
29-Jan-18,0.55681501,0.479004178,,,,,,
30-Jan-18,0.617657606,0.561444101,,,,,,
02-Feb-18,0.563326713,0.478494909,,,,,,
03-Feb-18,0.623669855,0.553531731,,,,,,
06-Feb-18,0.576098011,0.483156523,,,,,,
07-Feb-18,0.583943365,0.509115845,,,,,,
10-Feb-18,0.631195839,0.58396886,,,,,,
11-Feb-18,0.624787724,0.562100492,,,,,,
14-Feb-18,0.572118456,0.473428433,,,,,,
15-Feb-18,0.598842048,0.538457574,,,,,,
18-Feb-18,0.551639423,0.458832814,,,,,,
19-Feb-18,0.603619901,0.54134631,,,,,,
21-Feb-18,0.573740195,0.482907898,,,,,,
22-Feb-18,0.65305735,0.621680451,,,,,,
25-Feb-18,0.579955397,0.51786322,,,,,,
26-Feb-18,0.586654166,0.519315075,,,,,,
01-Mar-18,0.589783675,0.520462298,,,,,19.4781342,
02-Mar-18,0.61203643,0.559991888,,,,,,
05-Mar-18,0.586666045,0.503559658,,,,,,
06-Mar-18,0.623871721,0.578720118,,,,,,
09-Mar-18,0.583343976,0.511602457,,,,,,
10-Mar-18,0.601381164,0.528088521,,,,,,
13-Mar-18,0.559760865,0.463979104,,,,,,
14-Mar-18,0.62451697,0.576454838,,,,,,
17-Mar-18,0.567726161,0.46566773,,,,,36.83510425,
18-Mar-18,0.608632721,0.551129741,,,,,,
20-Mar-18,0.626691436,0.528293735,,,,,,
21-Mar-18,0.616806134,0.589627791,,,,,,
23-Mar-18,0.606920832,0.562385604,,,,,,
24-Mar-18,0.617616897,0.591720839,,,,,,
25-Mar-18,0.628312963,0.572078737,,,,,,
28-Mar-18,0.625468382,0.575200942,,,,,,
29-Mar-18,0.622623801,0.578323147,,,,,,
01-Apr-18,,0.580239118,,,,,,
02-Apr-18,0.601058598,0.580239118,,,,,38.68692238,
03-Apr-18,0.601058598,0.540351757,,,,,,
04-Apr-18,0.600790932,0.540351757,,,,,,
05-Apr-18,0.600790932,0.536535744,,,,,,
06-Apr-18,0.607132769,0.536699744,,,,,,
07-Apr-18,0.641223673,0.536699744,,,,,,
08-Apr-18,0.641223673,0.536699744,,,,,,
09-Apr-18,0.641223673,0.604819709,,,,,,
10-Apr-18,0.603049189,0.522113039,,,,,,
11-Apr-18,0.631049808,0.522113039,,,,,,
12-Apr-18,0.631049808,0.522113039,,,,,,
13-Apr-18,0.631049808,0.580738198,,,,,,
14-Apr-18,0.603508158,0.521355872,,,,,,
15-Apr-18,0.618064292,0.521355872,,,,,,
16-Apr-18,0.618064292,0.585353439,,,,,,
17-Apr-18,0.620282052,0.594418669,,,,,,
18-Apr-18,0.640688221,0.594418669,,,,,41.25732632,
19-Apr-18,0.640688221,0.594418669,,,,,,
20-Apr-18,0.640688221,0.626588484,,,,,,
21-Apr-18,0.617354603,0.597897461,,,,,,
22-Apr-18,0.620019962,0.597897461,,,,,,
23-Apr-18,0.620019962,0.597897461,,,,,,
24-Apr-18,0.620019962,0.590746663,,,,,,
25-Apr-18,0.631844017,0.607459062,,,,,,
26-Apr-18,0.617944454,0.607459062,,,,,,
27-Apr-18,0.617944454,0.607459062,,,,,,
28-Apr-18,0.617944454,0.592923427,,,,,,
29-Apr-18,0.615612212,0.573453047,,,,,,
30-Apr-18,,0.573453047,,,,,,
02-May-18,0.612518906,,,,,,,
03-May-18,0.612564191,,,,,,,
04-May-18,0.612564191,,,,,,46.75197251,
05-May-18,0.612564191,,,,,,,
06-May-18,0.649926346,,,,,,,
07-May-18,0.617323981,,,,,,,
08-May-18,0.617323981,,,,,,,
09-May-18,0.617323981,,,,,,,
10-May-18,0.641725557,,,,,,,
11-May-18,0.608311757,,,,,,,
12-May-18,0.608311757,,,,,,,
13-May-18,0.637881194,,,,,,,
14-May-18,0.615751842,,,,,,,
15-May-18,0.615751842,,,,,,,
16-May-18,0.610308197,,,,,,,
17-May-18,0.627182795,,,,,,,
18-May-18,0.613470312,,,,,,,
19-May-18,0.613470312,,,,,,,
20-May-18,0.622371636,,,,,,50.02791274,
21-May-18,0.619571096,,,,,,,
22-May-18,0.619396824,,,,,,,
23-May-18,0.619396824,,,,,,,
24-May-18,0.619396824,,,,,,,
25-May-18,0.613371287,,,,,,,
26-May-18,0.595019518,,,,,,,
27-May-18,0.595019518,,,,,,,
28-May-18,0.595019518,,,,,,,
29-May-18,0.633437867,,,,,,,
30-May-18,0.623864336,,,,,,,
31-May-18,0.623864336,,,,,,,
02-Jun-18,0.58339491,0.558147288,,,,,,
03-Jun-18,0.629650477,0.594508053,,,,,,
04-Jun-18,0.629650477,0.594508053,,,,,,
05-Jun-18,0.629650477,0.594508053,,,,,48.03685099,
06-Jun-18,0.620542226,0.578943337,,,,,,
07-Jun-18,0.618836787,0.565452603,,,,,,
08-Jun-18,0.618836787,0.565452603,,,,,,
09-Jun-18,0.613805818,0.563520878,,,,,,
10-Jun-18,0.612418118,0.60830903,,,,,,
11-Jun-18,0.612418118,0.60830903,,,,,,
12-Jun-18,0.612418118,0.60830903,,,,,,
13-Jun-18,0.603767043,0.567186169,,,,,,
14-Jun-18,0.602988424,0.578739788,,,,,,
15-Jun-18,0.602988424,0.578739788,,,,,,
16-Jun-18,0.602988424,0.578739788,,,,,,
17-Jun-18,0.502231499,0.425096152,,,,,,
18-Jun-18,0.533510004,0.454284378,,,,,,
19-Jun-18,0.533510004,0.454284378,,,,,,
20-Jun-18,0.533510004,0.454284378,,,,,,
21-Jun-18,0.607659084,0.579249277,,,,,48.00360667,
22-Jun-18,0.59593843,0.541283042,,,,,,
23-Jun-18,0.59593843,0.541283042,,,,,,
24-Jun-18,0.59593843,0.541283042,,,,,,
25-Jun-18,0.581936862,0.536830928,,,,,,
26-Jun-18,0.591001149,0.534254554,,,,,,
27-Jun-18,0.591001149,0.534254554,,,,,,
28-Jun-18,0.591001149,0.534254554,,,,,,
29-Jun-18,0.629177367,0.5946372,,,,,,
30-Jun-18,0.59768657,0.550133055,,,,,,
01-Jul-18,0.59768657,,,,,,,
02-Jul-18,0.59768657,0.514466153,,,,,,
03-Jul-18,0.589059026,0.604133316,,,,,,
04-Jul-18,0.590047183,0.533272833,,,,,,
05-Jul-18,0.590047183,0.533272833,,,,,,
06-Jul-18,0.595511802,0.550188916,,,,,,
07-Jul-18,0.553080037,0.5214535,,,,,46.54733484,
08-Jul-18,0.553080037,0.5214535,,,,,,
09-Jul-18,0.553080037,0.5214535,,,,,,
10-Jul-18,0.588593566,0.561980197,,,,,,
11-Jul-18,0.615490712,0.617851922,,,,,,
12-Jul-18,0.615490712,0.617851922,,,,,,
13-Jul-18,0.615490712,0.617851922,,,,,,
14-Jul-18,0.596664575,0.627396777,,,,,,
15-Jul-18,0.622281814,0.583421605,,,,,,
16-Jul-18,0.622281814,0.583421605,,,,,,
17-Jul-18,0.622281814,0.583421605,,,,,,
18-Jul-18,0.602630231,0.600184541,,,,,,
19-Jul-18,0.625841724,0.588597997,,,,,,
20-Jul-18,0.625841724,0.588597997,,,,,,
21-Jul-18,0.625841724,0.588597997,,,,,,
22-Jul-18,0.610918607,0.601926721,,,,,,
23-Jul-18,0.604758841,0.601511859,,,,,,
24-Jul-18,0.604758841,0.601511859,,,,,,
25-Jul-18,0.604758841,0.601511859,,,,,,
26-Jul-18,0.627066673,0.589446495,,,,,,
27-Jul-18,0.601579468,0.593108119,,,,,,
28-Jul-18,0.601579468,0.593108119,,,,,,
29-Jul-18,0.601579468,0.593108119,,,,,,
30-Jul-18,0.620537925,0.582272729,,,,,,
31-Jul-18,0.54983443,0.513497703,,,,,,
02-Aug-18,0.5894007,0.534454703,,,,,,
03-Aug-18,0.590897857,0.584307904,,,,,,
04-Aug-18,0.590897857,0.584307904,,,,,,
05-Aug-18,0.590897857,0.584307904,,,,,,
06-Aug-18,0.613739061,0.587182953,,,,,,
07-Aug-18,0.62769353,0.594204999,,,,,,
08-Aug-18,0.62769353,0.594204999,,,,,,
09-Aug-18,0.62769353,0.594204999,,,,,,
10-Aug-18,0.62694769,0.593130454,,,,,,
11-Aug-18,0.635435723,0.598948598,,,,,,
12-Aug-18,0.635435723,0.598948598,,,,,,
13-Aug-18,0.635435723,0.598948598,,,,,,
14-Aug-18,0.616618713,0.61692676,,,,,,
15-Aug-18,0.603179263,0.60306467,,,,,,
16-Aug-18,0.603179263,0.60306467,,,,,,
17-Aug-18,0.603179263,0.60306467,,,,,,
18-Aug-18,0.605321543,0.591299801,,,,,,
19-Aug-18,0.626527777,0.582036398,,,,,,
20-Aug-18,0.626527777,0.582036398,,,,,,
21-Aug-18,0.626527777,0.582036398,,,,,,
22-Aug-18,0.624098859,0.585155327,,,,,,
23-Aug-18,0.627248472,0.58258864,,,,,,
24-Aug-18,0.627248472,0.58258864,,,,,,
25-Aug-18,0.627248472,0.58258864,,,,,,
26-Aug-18,0.627065313,0.584275536,,,,,,
27-Aug-18,0.634635503,0.59367134,,,,,,
28-Aug-18,0.634635503,0.59367134,,,,,,
29-Aug-18,0.626392085,0.581819803,,,,,,
30-Aug-18,0.622943781,0.583322971,,,,,,
02-Sep-18,0.629855782,0.595040382,,,,,,
03-Sep-18,0.629282337,0.597375939,,,,,,
06-Sep-18,0.571838938,0.522128267,,,,,,
07-Sep-18,0.628595029,0.589328323,,,,,,
10-Sep-18,0.63244447,0.590254995,,,,,,
11-Sep-18,0.574401754,0.532967803,,,,,,
14-Sep-18,0.577161243,0.528923181,,,,,,
15-Sep-18,0.523058331,0.49498015,,,,,,
18-Sep-18,0.527338677,0.466383019,,,,,,
19-Sep-18,0.54145639,0.512720379,,,,,,
22-Sep-18,0.53670414,0.478026528,,,,,,
23-Sep-18,0.626542883,0.589604486,,,,,,
25-Sep-18,0.624179593,0.566788783,,,,,21.68471432,
26-Sep-18,0.537293337,0.496269142,,,,,,
29-Sep-18,0.515451984,0.475956915,,,,,,
30-Sep-18,0.522235471,0.484269214,,,,,,
03-Oct-18,0.51313491,0.480023031,,,,,,
04-Oct-18,0.513219558,0.471340723,,,,,,
07-Oct-18,0.516421318,0.45223547,,,,,,
08-Oct-18,0.508158209,0.45694195,,,,,,
11-Oct-18,0.536451042,0.470703936,,,,,34.78630237,
12-Oct-18,0.537295535,0.493017079,,,,,,
15-Oct-18,0.536147033,0.469206087,,,,,,
16-Oct-18,0.557010188,0.518201137,,,,,,
19-Oct-18,0.550024313,0.47702182,,,,,,
20-Oct-18,0.549010953,0.494710943,,,,,,
22-Oct-18,0.554215433,0.462093851,,,,,,
23-Oct-18,0.580692149,0.534266777,,,,,,
26-Oct-18,0.557885358,0.504053964,,,,,,
27-Oct-18,0.570312844,0.525078618,,,,,41.08120063,
30-Oct-18,0.563913169,0.508044976,,,,,,
31-Oct-18,0.551132292,0.49827694,,,,,,
02-Nov-18,0.581529845,0.505172418,,,,,,
03-Nov-18,0.539929988,0.471630106,,,,,,
04-Nov-18,0.581975851,0.52672426,,,,,,
06-Nov-18,0.563718172,0.49435528,,,,,,
07-Nov-18,0.545409535,0.47785643,,,,,,
08-Nov-18,0.553355611,0.480639485,,,,,,
10-Nov-18,0.554607664,0.46634005,,,,,,
11-Nov-18,0.540755076,0.468671591,,,,,,
12-Nov-18,0.592802429,0.532223192,,,,,36.57826853,
14-Nov-18,0.575336282,0.485311739,,,,,,
15-Nov-18,0.554447693,0.467103042,,,,,,
16-Nov-18,0.573456159,0.507515678,,,,,,
17-Nov-18,0.571212444,0.510594658,,,,,,
18-Nov-18,0.561228149,0.48795444,,,,,,
19-Nov-18,0.586664132,0.534440142,,,,,,
21-Nov-18,0.586954029,0.516537143,,,,,,
22-Nov-18,0.551894259,0.480928507,,,,,,
23-Nov-18,0.563911969,0.503068844,,,,,,
25-Nov-18,0.571226835,0.485957204,,,,,,
26-Nov-18,0.559467049,0.489791265,,,,,,
27-Nov-18,0.561240646,0.50223818,,,,,,
29-Nov-18,0.588712425,0.508168044,,,,,,
30-Nov-18,0.561019326,0.487213656,,,,,,
01-Dec-18,0.562369066,,,,,,,
02-Dec-18,0.562369066,0.555272383,,,,,,
03-Dec-18,0.576755758,0.511981977,,,,,,
04-Dec-18,0.54593249,0.620613439,,,,,,
05-Dec-18,0.597468758,0.531053087,,,,,,
06-Dec-18,0.601252838,0.53822073,,,,,,
07-Dec-18,0.569932636,0.499370243,,,,,,
08-Dec-18,0.535896944,0.440271522,,,,,,
09-Dec-18,0.580318696,0.508828676,,,,,,
10-Dec-18,0.578049647,0.494341935,,,,,,
11-Dec-18,0.57794824,0.513758894,,,,,,
12-Dec-18,0.546475737,0.438012957,,,,,,
13-Dec-18,0.583324289,0.507763974,,,,,,
14-Dec-18,0.577129552,0.499964585,,,,,28.92150089,
15-Dec-18,0.571800423,0.482236907,,,,,,
16-Dec-18,0.586513577,0.522393864,,,,,,
18-Dec-18,0.567514731,0.47591371,0.096767473,-0.009232719,0.101079036,7.838490439,,3.494842557
19-Dec-18,0.560035716,0.490548975,,,,,,
20-Dec-18,0.598116081,0.546148515,,,,,,
22-Dec-18,0.580324719,0.491976586,,,,,,
23-Dec-18,0.560163669,0.491938636,0.307403723,-0.148783643,0.203122505,8.051000638,,0.072627416
24-Dec-18,0.583471655,0.523180425,,,,,,
26-Dec-18,0.59647542,0.508540025,,,,,,
27-Dec-18,0.572988787,0.496585491,,,,,,
28-Dec-18,0.584663762,0.513693648,0.381000398,-0.201116566,0.155669094,8.144490208,,-0.020792443
29-Dec-18,0.584663762,0.513693648,,,,,,
30-Dec-18,0.621167217,0.587915281,,,,,23.47620033,
31-Dec-18,,0.491432344,,,,,,
01-Jan-19,0.626062303,0.565238335,,,,,,
02-Jan-19,0.626062303,0.555518744,0.268385618,-0.149047092,0.164198172,7.923734707,,0.830051677
03-Jan-19,0.587280287,0.535878866,,,,,,
04-Jan-19,0.56634065,0.484089716,,,,,,
05-Jan-19,0.602086768,0.540977276,,,,,,
06-Jan-19,0.599599241,0.528849767,0.269756976,-0.064413026,0.129334237,8.067702994,,
07-Jan-19,0.604084322,0.548251032,,,,,,0.757070292
08-Jan-19,0.598982576,0.52990873,,,,,,
09-Jan-19,0.581054254,0.500796465,,,,,,
10-Jan-19,0.562009979,0.466819299,,,,,,
11-Jan-19,0.582929553,0.500370034,,,,,,
12-Jan-19,0.612779561,0.549214582,,,,,,0.464162451
14-Jan-19,0.603305788,0.517829459,,,,,,
15-Jan-19,0.563320361,0.488492017,,,,,23.44407501,
16-Jan-19,0.604945137,0.558479445,,,,,,
18-Jan-19,0.602605043,0.526318547,,,,,,
19-Jan-19,0.577446658,0.517000625,,,,,,
20-Jan-19,0.612865269,0.572489276,,,,,,
22-Jan-19,0.612161588,0.529456594,0.344396293,-0.177477472,0.180763152,8.052627461,,2.952280529
23-Jan-19,0.587807308,0.526064789,,,,,,
24-Jan-19,0.599628407,0.544731383,,,,,,
25-Jan-19,0.599628407,0.544731383,,,,,,
26-Jan-19,0.645820956,0.622687254,,,,,,
27-Jan-19,0.557456329,0.463432572,0.256767714,-0.109720289,0.155361563,8.074821128,,5.073421526
28-Jan-19,0.606492155,0.538235462,,,,,,
29-Jan-19,0.585058191,0.502890502,,,,,,
30-Jan-19,0.613618864,0.559278015,,,,,,
31-Jan-19,0.568152671,0.481445885,,,,,23.63245268,
01-Feb-19,0.609717218,0.563949446,0.371014478,-0.170928335,0.170394839,8.145824685,,9.405379111
02-Feb-19,0.628056811,0.57551368,,,,,,
03-Feb-19,0.593911739,0.527495175,,,,,,
04-Feb-19,0.557450401,0.459826572,0.338584673,-0.149076846,0.169609484,8.089910484,,
05-Feb-19,0.572915913,0.493732145,0.291591915,-0.121871456,0.214800208,8.119504179,,
06-Feb-19,0.579021713,0.503175034,,,,,,8.638259554
07-Feb-19,0.592989353,0.523832893,,,,,,
08-Feb-19,0.582058723,0.524237973,,,,,,
10-Feb-19,0.579877866,0.491053126,,,,,,
11-Feb-19,0.589718505,0.532050699,,,,,,4.401338794
12-Feb-19,0.611707531,0.563509994,,,,,,
14-Feb-19,0.611675009,0.543541505,,,,,,
15-Feb-19,0.565273276,0.501848369,,,,,,
16-Feb-19,0.581568099,0.515240647,0.217980217,-0.145502876,0.144514423,7.977333852,-44.37935811,6.878333374
18-Feb-19,0.580565521,0.489048874,,,,,,
19-Feb-19,0.563992599,0.478166122,,,,,,
20-Feb-19,0.571799698,0.518135182,,,,,,
21-Feb-19,0.571799698,0.518135182,0.224590194,-0.123033293,0.172806356,7.871975832,,9.914299784
22-Feb-19,0.593276399,0.547604583,,,,,,
23-Feb-19,0.565962475,0.508015916,,,,,,
24-Feb-19,0.605182396,0.551836872,,,,,,
25-Feb-19,0.599973247,0.556544572,,,,,,
26-Feb-19,0.616118367,0.583900672,0.425655681,-0.25925618,0.129285219,8.185331169,,7.336201422
27-Feb-19,0.620476277,0.573421827,,,,,,
28-Feb-19,0.60323901,0.551824803,,,,,,
01-Mar-19,0.619032192,0.568535139,,,,,,
02-Mar-19,0.626305887,0.597050688,,,,,,
03-Mar-19,0.578863128,0.504415429,,,,,,
04-Mar-19,0.630394499,0.590550678,,,,,27.14089558,
05-Mar-19,0.610923202,0.56231668,,,,,,
06-Mar-19,0.601656445,0.542577382,,,,,,
07-Mar-19,0.62532091,0.587174437,,,,,,
09-Mar-19,0.617738027,0.566696005,,,,,,
10-Mar-19,0.598094303,0.567664109,,,,,,
11-Mar-19,0.630940622,0.597275561,,,,,,
13-Mar-19,0.627893394,0.574245164,0.384743826,-0.216986371,0.178426787,8.15297202,,3.129391199
14-Mar-19,0.599712566,0.561930131,,,,,,
15-Mar-19,0.596995311,0.537055286,,,,,,
17-Mar-19,0.615089041,0.548696947,,,,,,
18-Mar-19,0.603243988,0.55642087,0.432499682,-0.261768553,0.19652743,8.2577605,,-5.000225318
19-Mar-19,0.612120024,0.587780863,,,,,,
20-Mar-19,0.612120024,0.587780863,,,,,32.08407273,
21-Mar-19,0.620419176,0.583170495,,,,,,
22-Mar-19,0.583378591,0.543943279,,,,,,
23-Mar-19,0.624917004,0.592430529,0.492973807,-0.269349849,0.168111908,8.272495287,,1.461646399
24-Mar-19,0.639465073,0.615588878,,,,,,
25-Mar-19,0.614828949,0.598830083,,,,,,
26-Mar-19,0.600054987,0.552623758,,,,,,
27-Mar-19,0.640777273,0.612141872,,,,,,
28-Mar-19,0.64217247,0.611706706,0.318286611,-0.149499508,0.166807129,8.126761616,,1.643997093
29-Mar-19,0.653420872,0.637658744,,,,,,
30-Mar-19,0.600725976,0.542904203,,,,,,
31-Mar-19,0.638421521,0.620144915,,,,,,
01-Apr-19,0.64537156,,,,,,,
02-Apr-19,0.634040512,0.624378266,,,,,,0.769964844
03-Apr-19,0.639572475,0.613802004,,,,,,
04-Apr-19,0.639572475,0.613802004,,,,,,
05-Apr-19,0.622567243,0.596813383,,,,,27.28769547,
06-Apr-19,0.634052304,0.601245452,,,,,,
07-Apr-19,0.633727568,0.603150728,,,,,,-1.771951863
08-Apr-19,0.633727568,0.603150728,,,,,,
09-Apr-19,0.620874497,0.608975779,,,,,,
10-Apr-19,0.627910969,0.594344286,0.211188488,-0.030660033,0.093511322,8.060457319,,
11-Apr-19,0.624372564,0.607808042,,,,,,
12-Apr-19,0.624372564,0.607808042,,,,,,2.115329757
13-Apr-19,0.604439446,0.582670004,,,,,,
14-Apr-19,0.625125854,0.595033256,,,,,,
15-Apr-19,0.617259623,0.592984927,,,,,,
16-Apr-19,0.618804179,0.566315622,,,,,,
17-Apr-19,0.632807716,0.594407519,0.289772785,-0.119421651,0.149497628,8.12066066,,-1.879360575
18-Apr-19,0.621008535,0.569141868,,,,,,
19-Apr-19,0.623248962,0.593892183,,,,,,
20-Apr-19,0.622523219,0.602149683,,,,,,
21-Apr-19,0.658439741,0.655635766,,,,,44.15138013,
22-Apr-19,0.5923839,0.546372855,0.228665654,-0.08733162,0.180262095,7.947568521,,-3.120153851
23-Apr-19,0.645690737,0.628326042,,,,,,
24-Apr-19,0.633212343,0.618681452,,,,,,
25-Apr-19,0.628169483,0.590590794,,,,,,
26-Apr-19,0.609872029,0.562681793,,,,,,
27-Apr-19,0.63600807,0.604668114,0.345106804,-0.169223945,0.165214045,8.161852805,,-5.188777218
28-Apr-19,0.6278731,0.609635975,,,,,,
29-Apr-19,0.609199115,0.556765285,,,,,,
30-Apr-19,0.62585358,0.585304776,,,,,,
02-May-19,0.608842498,,,,,,,-1.512016911
03-May-19,0.57400377,,,,,,,
04-May-19,0.635385027,,,,,,,
05-May-19,0.635385027,,,,,,,
06-May-19,0.608342559,,,,,,,
07-May-19,0.624982928,,,,,,46.38341229,1.405364998
08-May-19,0.62291751,,,,,,,
09-May-19,0.62291751,,,,,,,
10-May-19,0.625101376,,,,,,,
11-May-19,0.624861034,,,,,,,
12-May-19,0.624482538,,,,,,,2.233899147
13-May-19,0.631107741,,,,,,,
14-May-19,0.633721464,,,,,,,
