date,Suspended Matter,Dissolved Organic Matter,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Temperature
29 April 2016,0.556776547,0.5193128,,,,,,
30 April 2016,0.545021752,0.509203232,,,,,,
03 May 2016,0.53824374,,,,,,,
04 May 2016,0.582779805,,,,,,,
07 May 2016,0.547477383,0.591908424,,,,,,
08 May 2016,0.556988234,,,,,,,
12 May 2016,0.541444793,0.327873617,,,,,,
14 May 2016,0.538017522,0.460732158,,,,,,12.87095527
15 May 2016,0.627179753,0.635205667,,,,,,
18 May 2016,0.542755276,0.519313777,,,,,,
19 May 2016,0.616769085,0.60484165,,,,,,
22 May 2016,0.593666809,0.549176419,,,,,,
23 May 2016,0.589927513,0.578891845,,,,,,
26 May 2016,0.550329449,0.511182372,,,,,,
27 May 2016,0.579007148,0.572715433,,,,,,
30 May 2016,0.541755304,0.501463541,,,,,,39.0402224
31 May 2016,0.579944681,0.559851586,,,,,,
03 June 2016,0.558725236,,,,,,,
04 June 2016,0.589232575,,,,,,,
07 June 2016,0.568391366,,,,,,,
08 June 2016,0.557534158,,,,,,,
10 June 2016,0.569292072,,,,,,,
11 June 2016,0.607735309,,,,,,,29.09223819
14 June 2016,0.595148256,0.570882674,,,,,,
15 June 2016,0.600372196,0.58199417,,,,,,36.59884415
18 June 2016,0,0,,,,,,
19 June 2016,0.631167584,0.592380903,,,,,,
22 June 2016,0.599586217,0.536982475,,,,,,
23 June 2016,0.582172699,0.542153962,,,,,,
26 June 2016,0.538117256,0.481873879,,,,,,
27 June 2016,0.566842561,0.524958363,,,,,,
30 June 2016,0.589774451,0.530409835,,,,,,
01 July 2016,0.516570476,,,,,,,18.61437443
04 July 2016,0.552061516,,,,,,,
05 July 2016,0.631058926,0.490789432,,,,,,
07 July 2016,0.63160237,0.581118039,,,,,,
08 July 2016,0.600542895,0.593105226,,,,,,
11 July 2016,0.624785477,,,,,,,
12 July 2016,0.597559147,,,,,,,
15 July 2016,0.624780977,0.583496337,,,,,,
16 July 2016,0.62639771,0.585716183,,,,,,
19 July 2016,0.63356507,0.598875221,,,,,,
20 July 2016,0.616897811,0.600206764,,,,,,
23 July 2016,0.629857322,0.601869662,,,,,,
